novel_name,author,novelurl,serialstatus,serialnumber,category,collects,reviews,month
重生之妙手狂医,最帅的帅白,http://www.17k.com/book/1935645.html,连载,3997097,都市异能,11702,25477636,256584
武修圣帝,曾是个王者,http://www.17k.com/book/2642189.html,连载,106987,东方玄幻,0,642,325
末世破苍穹,苍穹蓝空,http://www.17k.com/book/2186440.html,连载,212196,进化变异,44,1846,82
异事笔录,溪水游,http://www.17k.com/book/2407859.html,连载,992656,异术超能,607,3724,268
星宇所寻之始之序章,Memory晨忆,http://www.17k.com/book/2165116.html,连载,100021,古武机甲,6,1063,32
无上造化,雪逸尘,http://www.17k.com/book/2326988.html,连载,935074,东方玄幻,538,33892,6173
大九洲,墨伊的无奈,http://www.17k.com/book/2499030.html,连载,383194,洪荒封神,32,8471,2996
落日了,叶飘风愁,http://www.17k.com/book/2646834.html,连载,3180,职场励志,0,592,337
高颜值星球,第二hx恒星,http://www.17k.com/book/2661309.html,连载,12350,都市异能,0,52,52
来自天国的书信,雷昂哈特,http://www.17k.com/book/2646415.html,连载,60829,谍战特工,16,1506,1271
我为昊天,书与书虫,http://www.17k.com/book/2635938.html,连载,127951,异界大陆,90,1034,761
不灭武尊,梁家三少,http://www.17k.com/book/69646.html,连载,10403807,东方玄幻,210330,101259237,1831137
抗战之我的纵横人生,风雪云中路,http://www.17k.com/book/2161482.html,连载,1340840,战史风云,3171,194610,7769
髒天,关小西,http://www.17k.com/book/2572088.html,连载,23325,古典仙侠,0,133,83
重返前生之皇帝的逆袭,落日他乡树,http://www.17k.com/book/2363406.html,连载,320509,架空历史,0,6009,448
斗破魔仙界,文武不凡,http://www.17k.com/book/2650786.html,连载,100717,古典仙侠,0,693,693
重生神级杀手,风情月,http://www.17k.com/book/2645727.html,连载,85218,都市重生,6,1200,621
如果花开不忘锦,Cherry璃,http://www.17k.com/book/2552140.html,连载,13123,洪荒封神,0,311,86
水果店魔剑,散步到太阳,http://www.17k.com/book/2568467.html,连载,388697,东方玄幻,254,29069,2627
凡天录,相罗,http://www.17k.com/book/2469050.html,连载,213501,东方玄幻,15,7291,365
邪皇之王,冷夜星空,http://www.17k.com/book/2649332.html,连载,12385,东方玄幻,0,50,50
腹黑竹马找上门：别过来,coina薽,http://www.17k.com/book/2407045.html,连载,9,热血青春,0,210,1
陌途花开,爱小熊,http://www.17k.com/book/2661982.html,连载,3239,都市生活,0,3,3
清晨第一缕阳光,冰雪绝恋奇缘,http://www.17k.com/book/2442257.html,连载,63515,娱乐明星,0,147,40
最后之人,九封君忆,http://www.17k.com/book/2490589.html,连载,194448,异术超能,0,655,100
踏龙记,言之不净,http://www.17k.com/book/2637614.html,连载,87403,异界大陆,18,1081,824
末世之我是先知,豆肥,http://www.17k.com/book/2659545.html,连载,11017,未来幻想,0,30,30
魔道在生,艺之花,http://www.17k.com/book/1027523.html,连载,326976,东方玄幻,0,2096,154
一刀情,清枫随意,http://www.17k.com/book/2527820.html,连载,198908,传统武侠,0,3533,13
布莱克之战神联盟,格雷斯星光明守护者布莱克,http://www.17k.com/book/2616753.html,连载,4763,游戏异界,0,118,95
