novel_name,author,novelurl,serialstatus,serialnumber,category,collects,reviews
太古玄黄诀,秦歌扬,http://chuangshi.qq.com/bk/xh/20397303.html,玄幻,66925,连载中,194,1137
鹿晗，微白之恋,鹿染汐儿,http://chuangshi.qq.com/bk/qc/20152713.html,现实,23351,连载中,123,1230
授信未来,黎明灰,http://chuangshi.qq.com/bk/kh/15388729.html,科幻,668864,连载中,9204,17458
鲜花盛开，别来无恙,墨色不染,http://chuangshi.qq.com/bk/dp/20443061.html,短篇,11108,连载中,42,423
风起苍岚之顶级炼丹师,蓝魂牵绕,http://chuangshi.qq.com/bk/xx/20253962.html,仙侠,72652,连载中,152,1516
我才不是人妖啊,无笔画师,http://chuangshi.qq.com/bk/2cy/13616319.html,二次元,511127,连载中,10193,33493
斗战仙穹,妖天,http://chuangshi.qq.com/bk/xx/20191369.html,仙侠,103261,连载中,324,2735
三国超神升级系统,剑北望,http://chuangshi.qq.com/bk/ls/15406971.html,历史,908753,连载中,15278,35619
诛仙之无上剑仙,愁绪岁月,http://chuangshi.qq.com/bk/xx/20432281.html,仙侠,8239,连载中,6,61
七圣绝,祎秋渔家,http://chuangshi.qq.com/bk/xh/20478571.html,玄幻,4174,连载中,4,43
至尊战神在都市,哎哟叶子哥,http://chuangshi.qq.com/bk/xx/17098576.html,仙侠,631672,连载中,17814,45764
女校超级教师,小犁,http://chuangshi.qq.com/bk/ds/14964625.html,都市,1205111,连载中,5854,26191
武装捉鬼师,竹羽,http://chuangshi.qq.com/bk/ly/17393313.html,灵异,412673,连载中,7151,11310
重生极品纨绔,一克水,http://chuangshi.qq.com/bk/xh/13574623.html,玄幻,1797035,连载中,7680,54224
盛唐金手指,钢城小草人,http://chuangshi.qq.com/bk/ls/14900341.html,历史,924023,连载中,130604,186478
梦入玄天,左岸熙,http://chuangshi.qq.com/bk/xh/20018462.html,玄幻,250192,连载中,424,2240
网游之技能帝师,秦无炎66,http://chuangshi.qq.com/bk/yx/19881985.html,游戏,346101,连载中,1521,14727
