novel_name,author,novelurl,serialstatus,serialnumber,category,collects,reviews
位面电梯, 千翠百恋,http://www.x23us.com/book/63512, 连载中, 4287452字,科幻小说, 4357, 920753
电影的世界, 有梦之人,http://www.x23us.com/book/68043, 连载中, 547013字,科幻小说, 317, 1984
直死无限, 如倾如诉,http://www.x23us.com/book/67066, 连载中, 3573395字,科幻小说, 1040, 664647
位面源代码, 不啃菠萝皮,http://www.x23us.com/book/67190, 连载中, 1333784字,科幻小说, 666, 78653
修真四万年, 卧牛真人,http://www.x23us.com/book/54775, 连载中, 8993010字,科幻小说, 8817, 1301764
末世小馆, 秦善官,http://www.x23us.com/book/68042, 连载中, 1022032字,科幻小说, 155, 2275
黑暗大纪元, 妖仙公子,http://www.x23us.com/book/68047, 连载中, 1849588字,科幻小说, 380, 2868
无限之神座无敌, 城之天,http://www.x23us.com/book/67294, 连载中, 1117871字,科幻小说, 395, 96762
星神兵王, 你要卡宴,http://www.x23us.com/book/65722, 连载中, 3720118字,科幻小说, 704, 32707
直播之异星冒险, 高冷包子,http://www.x23us.com/book/68311, 连载中, 754165字,科幻小说, 12, 192
两界搬运工, 石闻,http://www.x23us.com/book/67026, 连载中, 3030779字,科幻小说, 991, 348684
狮子兽的征途, 兰陵王小生,http://www.x23us.com/book/64272, 连载中, 3250339字,科幻小说, 826, 127708
大汉科技帝国, 牛家一郎,http://www.x23us.com/book/64136, 连载中, 3712409字,科幻小说, 1366, 148576
影视世界游记, 东方孤鹰,http://www.x23us.com/book/66413, 连载中, 1555956字,科幻小说, 1141, 81994
位面游轮, 横空日月,http://www.x23us.com/book/68129, 连载中, 1535883字,科幻小说, 202, 1844
无限之电影杀戮, 我为谪仙人,http://www.x23us.com/book/68048, 连载中, 1100447字,科幻小说, 225, 2051
仙武世界大反派, 血月客,http://www.x23us.com/book/57378, 连载中, 4443584字,科幻小说, 1437, 206146
阴阳鬼医, 沙中灰,http://www.x23us.com/book/53497, 连载中, 8443900字,科幻小说, 1430, 296999
诸天问道系统, 笔下华章,http://www.x23us.com/book/68408, 连载中, 147569字,科幻小说, 1, 7
东方次元入侵, 深不可侧,http://www.x23us.com/book/68409, 连载中, 8552字,科幻小说, 0, 0
魔法种族大穿越, 残酷厕纸天使,http://www.x23us.com/book/66954, 连载中, 2062516字,科幻小说, 812, 319808
神国永恒, 风邻晩,http://www.x23us.com/book/59109, 连载中, 2401826字,科幻小说, 684, 85209
血猎纵横, 失墨影,http://www.x23us.com/book/59592, 连载中, 2224354字,科幻小说, 141, 10132
超自然异闻录, 三千狼,http://www.x23us.com/book/64133, 连载中, 2497400字,科幻小说, 172, 20206
