novel_name,author,novelurl,serialstatus,serialnumber,category,collects,reviews,month
首长红人,红途1,http://book.zongheng.com/book/703560.html,连载中,828043,文集,22,393,390
穿越之反派大人求包养,零泪凝雪,http://book.zongheng.com/book/703065.html,连载中,22529,异世,7,20,20
命途修真,幻影千重,http://book.zongheng.com/book/699919.html,连载中,104991,修真,88,1269,1221
特种奶爸俏老婆,二斗,http://book.zongheng.com/book/531559.html,连载中,5901681,都市,2912,211514,1099
少年王,飞舞激扬,http://book.zongheng.com/book/652564.html,连载中,3272887,都市,34,3535,483
天命勇者,东方钢笔,http://book.zongheng.com/book/701092.html,连载中,54486,异世,9,119,119
凤非所愿,白榆树,http://book.zongheng.com/book/700832.html,连载中,66960,武侠,14,23,23
东晋演义,兔老仙,http://book.zongheng.com/book/654317.html,连载中,327806,历史,20,1330,114
天眼神兵,夏侯皓月,http://book.zongheng.com/book/701953.html,连载中,464780,都市,4,46,46
大靠山,梅花三弄,http://book.zongheng.com/book/635402.html,连载中,2058810,都市,261,30513,9294
透视仙医,有一眼,http://book.zongheng.com/book/560765.html,连载中,4350029,都市,909,112204,5366
最强战兵,太白入月,http://book.zongheng.com/book/695126.html,连载中,1886707,都市,1,795,318
武凌天下,流连往返,http://book.zongheng.com/book/668931.html,连载中,3931098,玄幻,21,4054,344
天纵之人间界,莫离生,http://book.zongheng.com/book/663509.html,连载中,1052994,武侠,278,8769,913
变身之太阴真经,寻觅知音,http://book.zongheng.com/book/701596.html,连载中,43001,都市,9,16,16
最强废少,飞舞的郎,http://book.zongheng.com/book/690478.html,连载中,1836571,文集,17,500,227
乡村小医仙,北秋,http://book.zongheng.com/book/629183.html,连载中,2919192,都市,2170,78183,2190
兵王的都市旅程,临汾一笑,http://book.zongheng.com/book/697432.html,连载中,1006892,文集,8,38,23
万古帝尊,南宫凌,http://book.zongheng.com/book/680823.html,连载中,4295040,玄幻,33,1898,414
和世界小姐在一起的日子,寻找梦的风,http://book.zongheng.com/book/700901.html,连载中,369761,都市,1,54,46
都市追凶,酒会变,http://book.zongheng.com/book/700915.html,连载中,577554,推理,2,64,61
网爱,金宇,http://book.zongheng.com/book/611115.html,连载中,1852856,都市,13,7556,657
大明春色,西风紧,http://book.zongheng.com/book/683061.html,连载中,399178,历史,6995,314039,83574
神级幸运系统,大蓝衣,http://book.zongheng.com/book/666733.html,连载中,679427,都市,38,1939,242
透视医仙,黄落碧泉,http://book.zongheng.com/book/580630.html,连载中,1678519,都市,435,37932,2124
重生之竞技天才,救赎小艾,http://book.zongheng.com/book/690501.html,连载中,808270,文集,11,293,101
网游之剑逝,静望枫雪,http://book.zongheng.com/book/604580.html,连载中,1454589,游戏,916,48415,4717
一个人的武侠游记,萌天帝,http://book.zongheng.com/book/700054.html,连载中,35865,修真,1,28,25
神衍灵主,残云居士,http://book.zongheng.com/book/571564.html,连载中,2008285,玄幻,686,29296,337
霸道总裁之君的珍爱,懿美,http://book.zongheng.com/book/702639.html,连载中,14131,都市,2,9,9
全能保镖,海派山人,http://book.zongheng.com/book/669824.html,连载中,581917,都市,4518,1218951,271476
朝仙阙,金舆驿马,http://book.zongheng.com/book/703742.html,连载中,18697,仙侠,5,31,31
错步,朔天,http://book.zongheng.com/book/702419.html,连载中,13167,江湖,1,16,16
宦海争锋,小楼昨夜轻风,http://book.zongheng.com/book/622366.html,连载中,1890514,都市,70,20850,632
战龙凌神,蓝色蝌蚪,http://book.zongheng.com/book/635867.html,连载中,919521,玄幻,18,4011,154
绝世邪尊,毕竟是蠢才,http://book.zongheng.com/book/681119.html,连载中,4609311,玄幻,62,2474,520
末世重生之黑莲,五彩糖糖,http://book.zongheng.com/book/694579.html,连载中,18646,玄幻,1,62,12
湘女传,徐稚,http://book.zongheng.com/book/699500.html,连载中,71449,武侠,3,48,31
神谕之末世狂欢,南山秀,http://book.zongheng.com/book/704089.html,连载中,31468,异术,1,8,8
坎坷通天途,老王家的小伙,http://book.zongheng.com/book/692943.html,连载中,72586,进化,1,122,70
念梦星娱,浮生夜尽,http://book.zongheng.com/book/678945.html,连载中,177582,都市,14,962,268
重生之武道修仙,冰冷的木头,http://book.zongheng.com/book/701096.html,连载中,64539,修真,7,92,92
终极审判,贾大妖,http://book.zongheng.com/book/625682.html,连载中,1038306,末世,24,4011,178
不二王朝,不二回眸,http://book.zongheng.com/book/701947.html,连载中,20269,都市,9,13,13
道仙武寂,阴阳阁主,http://book.zongheng.com/book/702646.html,连载中,33901,玄幻,1,66,66
伤风城,小风,http://book.zongheng.com/book/697646.html,连载中,301851,文集,1,15,8
万域之王,逆苍天,http://book.zongheng.com/book/568097.html,连载中,2712616,异世,210576,149282701,9599856
超级红包群,知新,http://book.zongheng.com/book/602331.html,连载中,3060063,都市,3054,140408,1955
无上神王,草根,http://book.zongheng.com/book/530909.html,连载中,8959366,玄幻,7361,1438794,7460
